english,banjara,pos,ipa,telugu,hindi,source
ఉడికిన,ukal,adj.,/ukaḷ/,ఉకళ్,उकळ,Banjara_telugu.docx
ఉడుత,garli,n.,/garli/,గర్లి,गर्लि,Banjara_telugu.docx
ఉడుము,goyi,n.,/gōyi/,గోయి,गोयि,Banjara_telugu.docx
ఉత్తరం,karat / lanka,n.,/kāraṭ/ /laṅkā/,కారట్ / లంకా,कारट / लंका,Banjara_telugu.docx
ఉత్తీర్ణత,pas vego,n.,/pās vēgō/,పాస్ వేగో,पास वेगो,Banjara_telugu.docx
ఉత్పత్తి చెయ్యి,janavam,v.,/jaṇāvã/,జణావఁ,जणावं,Banjara_telugu.docx
ఉత్సాహం,ravana,n.,/ravāna/,రవాన,रवाना,Banjara_telugu.docx
ఉదరం,pet,n.,/pēṭ/,పేట్,पेट,Banjara_telugu.docx
ఉదాహరణ,udaharar,n.,/udāhārār/,ఉదాహారార్,उदाहारार,Banjara_telugu.docx
ఉద్దేశ్యపూర్వకంగా,chartllokan / chavanukan,adv.,/cārṭllōkan/ /cavaṇukan/,చార్ట్ల్లోకన్ / చవణుకన్,चार्टल्लोकान / चवणुकान,Banjara_telugu.docx
ఉద్యోగం,naukari,n.,/naukari/,నౌకరి,नौकरि,Banjara_telugu.docx
ఉద్యోగం పై చేయాలని,naukaripar,v.,/naukaripar/,నౌకరిపర్,नौकरिपर,Banjara_telugu.docx
ఉన్న,valo,adj.,/vāḷō/,వాలొ,वाळो,Banjara_telugu.docx
ఉన్నప్పటికి,ratoyi,conj.,/ratōyi/,రతోయ్,रतोयि,Banjara_telugu.docx
ఉపవాసం,bhuko,n.,/bhūkō/,భూకొ,भूको,Banjara_telugu.docx
ఉపసంహరణ,hatoler,n.,/hāṭōlēr/,హాటొలేర్,हाटोलेर,Banjara_telugu.docx
ఉపాయం,odpu / hupam,n.,/ōḍpu/ /hupām/,ఓడ్పు / హుపామ్,ओडपु / हुपाम,Banjara_telugu.docx
ఉప్పు,nun,n.,/nūṇ/,నూణ్,नूण,Banjara_telugu.docx
ఉప్పు నీరు,kharopani,n.,/khārōpāṇī/,ఖారొపాణీ,खारोपाणी,Banjara_telugu.docx
ఉబ్బసం,mosa,n.,/mōsa/,మోస,मोस,Banjara_telugu.docx
ఉబ్బింది,apriyayo,v.,/āpriyāyō/,ఆప్రియాయొ,आप्रियायो,Banjara_telugu.docx
ఉబ్బిన కడుపు,apar jako pet,n.,/āpar jakō pēṭ/,ఆపర్ జకొ పేట్,आपर जको पेट,Banjara_telugu.docx
ఉబ్బెత్తు,phulo,adj.,/fūlō/,ఫూలో,फूलो,Banjara_telugu.docx
ఉబ్బేటట్టు చెయ్యి,apranju kar,v.,/āprãju kar/,ఆప్రఁజు కర్,आप्रंजु कर,Banjara_telugu.docx
ఉమ్మి,thunk,n.,/thūṅk/,థూంక్,थूङ्क,Banjara_telugu.docx
ఉయ్యాల,hinjolo / jhali,n.,/hiñjōḷō/ /jhāḷi/,హింజోళో / ఝాళి,हिन्जोळो / झाळि,Banjara_telugu.docx
ఉరమడం,garaj,n.,/garaj/,గరజ్,गरज,Banjara_telugu.docx
ఉరుము,garaj,n.,/garaj/,గరజ్,गरज,Banjara_telugu.docx
ఉలికిపడ్డ,janjrago,v.,/jañjrāgō/,జంజ్రాగో,जञ्ज्रागो,Banjara_telugu.docx
ఉతకడం,dhoyer,n.,/dhōyēr/,ధోయేర్,धोयेर,Banjara_telugu.docx
ఉన్ని,un,n.,/ūn/,ఊన్,ऊन,Banjara_telugu.docx
ఉల్టా,vallo,adj.,/vallō/,వల్లొ,वल्लो,Banjara_telugu.docx
ఉతకని,lagale,adj.,/lagalē/,లగలే,लगले,Banjara_telugu.docx
ఉపన్యాసం,bhashan,n.,/bhāṣaṇ/,భాషణ్,भाषण,Banjara_telugu.docx
ఉల్లాకు,kandar pan,n.,/kāndār pān/,కాందార్ పాన్,कान्दार पान,Banjara_telugu.docx
ఉత్తగా,thalo / nakam,adv.,/ṭhālō/ /nakām/,ఠాలొ / నకామ్,ठालो / नकाम,Banjara_telugu.docx
ఉపరి తలం,umparer,n.,/umparēr/,ఉంపరేర్,उम्परेर,Banjara_telugu.docx
ఉల్లి గడ్డ,kanda,n.,/kāndā/,కాందా,कान्दा,Banjara_telugu.docx
ఉషారు,humsyari,adj.,/hũsyāri/,హుఁస్యారి,हुंस्यारि,Banjara_telugu.docx
ఉత్తమ,ach,adj.,/āc/,ఆచ్,आच,Banjara_telugu.docx
ఊగు,hinch,v.,/hīñc/,హీంచ్,हीञ्च,Banjara_telugu.docx
ఊపిరి,vams,n.,/vā̃s/,వాఁస్,वांस,Banjara_telugu.docx
ఊపిరితిత్తులు,phyangpro,n.,/fyāmprō/,ఫ్యాంప్రొ,फ्याम्प्रो,Banjara_telugu.docx
ఊరికే,janan,adv.,/jāṇan/,జాణన్,जाणन,Banjara_telugu.docx
ఊరు,gam,n.,/gām/,గామ్,गाम,Banjara_telugu.docx
ఊరేగింపు,julus,n.,/julūs/,జులూస్,जुलूस,Banjara_telugu.docx
ఊసరవెల్లి,dakja ghodo,n.,/ḍākjā ghōḍō/,డాక్జా ఘోడొ,डाक्जा घोडो,Banjara_telugu.docx
ఊహించలేక,sonchekoni,adv.,/sōñcēkōni/,సోంచెకొని,सोन्चेकोनि,Banjara_telugu.docx
ఊడ్చు వాడు,barevalo,n.,/bārēvāḷō/,బారేవాళో,बारेवाळो,Banjara_telugu.docx
ఊపు,hala,v.,/halā/,హలా,हला,Banjara_telugu.docx
ఊత కర్ర,tekan caler lakshi,n.,/ṭēkan cālēr lakṣī/,టేకన్ చాలేర్ లక్షీ,टेकान चालेर लक्षी,Banjara_telugu.docx
ఊయల,hindodo,n.,/hindōḍō/,హిందొడొ,हिन्दोडो,Banjara_telugu.docx
ఊదడం,phunkar,n.,/fuṅkār/,ఫుంకార్,फुंकार,Banjara_telugu.docx
ఊరగాయ,khvadi,n.,/khvāḍi/,ఖ్వాడి,ख्वाडि,Banjara_telugu.docx
ఊదు,phunkar,v.,/fuṅkār/,ఫుంకార్,फुंकार,Banjara_telugu.docx
ఊరటం,sangpher,n.,/sāṅgfēr/,సాంగ్ఫేర్,सांगफेर,Banjara_telugu.docx
ఋషి,muni,n.,/muni/,ముని,मुनि,Banjara_telugu.docx
ఎగుడు దిగుడుగా ఉన్న,khanca,adj.,/khāñcā/,ఖాంచా,खांचा,Banjara_telugu.docx
ఎదురుదెబ్బ,dhakka,n.,/dhakkā/,ధక్కా,धक्का,Banjara_telugu.docx
ఎండ గొట్టడం,tav domarri,v.,/tāv ḍōmārri/,తావ్ డోమార్రి,ताव डोमार्रि,Banjara_telugu.docx
ఎదుర్కొను,khev,v.,/khēv/,ఖేవ్,खेव,Banjara_telugu.docx
ఎండగా,tadko,adv.,/taḍkō/,తడ్కొ,तडको,Banjara_telugu.docx
ఎదుర్కోవడం,hata,v.,/haṭā/,హటా,हटा,Banjara_telugu.docx
ఎండలో ఎండిన,tadkima sukan,adj.,/taḍkimā sukān/,తడ్కిమా సుకాన్,तडकिमा सुकान,Banjara_telugu.docx
ఎండాకాలం వేసవి,undalo,n.,/undāḷō/,ఉందాళో,उन्दाळो,Banjara_telugu.docx
ఎండిన,suko / suk,adj.,/sūkō/ /sūk/,సూకొ / సూక్,सूको / सूक,Banjara_telugu.docx
ఎంత,kanyikana / kassenam,adv.,/kā̃yikanã/ /kassēnã/,కాఁయికనఁ / కస్సేనఁ,कांयिकानं / कस्सेनं,Banjara_telugu.docx
ఎకరం,ekar,n.,/ēkar/,ఎకర్,एकर,Banjara_telugu.docx
ఎక్కడ,katta,adv.,/katta/,కత్త,कत्त,Banjara_telugu.docx
ఎక్కి ఎక్కి,hupki,adv.,/hupkī/,హుప్కీ,हुप्की,Banjara_telugu.docx
ఎక్కు,chand,v.,/cãḍ/,చఁడ్,चंड,Banjara_telugu.docx
ఎగురు,kud,v.,/kūd/,కూద్,कूद,Banjara_telugu.docx
ఎటు,kevi,adv.,/kēvi/,కేవి,केवि,Banjara_telugu.docx
ఎట్లా,kum,adv.,/kū̃/,కూఁ,कूं,Banjara_telugu.docx
ఎట్లైనా,kumyiti,adv.,/kū̃yiti/,కూఁయితి,कूंयिति,Banjara_telugu.docx
ఎడమ,dav,adj.,/ḍāv/,డావ్,डाव,Banjara_telugu.docx
ఎడారి,uskyar bid,n.,/uskyār bīḍ/,ఉస్క్యార్ బీడ్,उस्क्यार बीड,Banjara_telugu.docx
ఎత్తి చూపడం,padan dikal,v.,/pāḍan dikāḷ/,పాడన్ దికాళ్,पाडन दिकाळ,Banjara_telugu.docx
ఎత్తు,uncha,n.,/uñca/,ఉంచ,उञ्चा,Banjara_telugu.docx
ఎత్తుకు ఎదుగు,badga,v.,/baḍgā/,బడ్గా,बडगा,Banjara_telugu.docx
ఎద్దు,balad,n.,/baḷad/,బళద్,बळद,Banjara_telugu.docx
ఎనభై,assi,num.,/assi/,అస్సి,अस्सि,Banjara_telugu.docx
ఎనిమిది,at,num.,/āṭ/,ఆట్,आट,Banjara_telugu.docx
ఎన్ని,katri,adv.,/katri/,కత్రి,कत्रि,Banjara_telugu.docx
ఎన్నిక,chunler / ot,n.,/cunlēr/ /ōṭ/,చున్లేర్ / ఓట్,चुन्लेर / ओट,Banjara_telugu.docx
ఎన్నో,katrayiko,adj.,/katrāyikō/,కత్రాయికో,कत्रायिको,Banjara_telugu.docx
ఎప్పటికప్పుడు,jannar janna,adv.,/jannār jannā/,జన్నార్ జన్న,जन्नार जन्ना,Banjara_telugu.docx
ఎప్పుడు,kanna,adv.,/kanna/,కన్న,कन्ना,Banjara_telugu.docx
ఎముక,hadka / hadaka,n.,/haḍkā/ /haḍaka/,హడ్కా / హడక,हडका / हडका,Banjara_telugu.docx
ఎక్కువ,jyada / bader / asman / ras / jappa,adj.,/jyādā/ /baḍēr/ /asmān/ /rās/ /jāppā/,జ్యాదా / బడేర్ / అస్మాన్ / రాస్ / జాప్పా,ज्यादा / बडेर / आस्मान / रास / जाप्पा,Banjara_telugu.docx
ఎక్కువ కావడం,badjayer,v.,/baḍjāyēr/,బడ్జాయేర్,बड्जायेर,Banjara_telugu.docx
ఎక్కువ చేయు,ghano kar,v.,/ghaṇō kar/,ఘణో కర్,घणो कर,Banjara_telugu.docx
ఎగ పోయడం,varader,v.,/varāḍēr/,వరాడేర్,वराडेर,Banjara_telugu.docx
ఎగతాళి అపహాస్యం,maskari,n.,/maskari/,మస్కరి,मस्करि,Banjara_telugu.docx
ఎగబాకు,chand,v.,/cãḍ/,చఁడ్,चंड,Banjara_telugu.docx
ఎగరడం,bam,v.,/bam/,బమ్,बम,Banjara_telugu.docx
ఎగరడము,vader,n.,/vaḍēr/,వడేర్,वडेर,Banjara_telugu.docx
ఎగిరిపోవడం,vado,v.,/vaḍō/,వడో,वडो,Banjara_telugu.docx
ఎగిరిపడు,vachkalan pader,v.,/vackaḷan paḍēr/,వచ్కళన్ పడేర్,वच्कळन पडेर,Banjara_telugu.docx
ఎత్తుకో,palda,v.,/pālḍa/,పాల్డ,पाल्डा,Banjara_telugu.docx
ఎత్తులోకి వెళ్ళే దారి,chadav,n.,/caḍāvō/,చడావొ,चडावो,Banjara_telugu.docx
ఎత్తేయడం,panaker,v.,/pāṇākēr/,పాణాకేర్,पाणाकेर,Banjara_telugu.docx
ఎత్తైన,umpram / vuncher,adj.,/umprã/ /vuñcēr/,ఉంప్రఁ / వుంచేర్,उम्प्रं / वुञ्चेर,Banjara_telugu.docx
ఎత్తైన వ్యక్తి,tangalo,n.,/ṭāṅgāḷō/,టాంగాళో,टांगाळो,Banjara_telugu.docx
ఎదగడం,vadago,v.,/vadagō/,వదగో,वदगो,Banjara_telugu.docx
ఎదిరించు,hato / hata,v.,/hāṭō/ /haṭā/,హాటో / హటా,हाटो / हटा,Banjara_telugu.docx
ఎదురు,samnak / angam,adv.,/samnāk/ /āṅgã/,సమ్నాక్ / ఆంగఁ,सम्नाक / आंगं,Banjara_telugu.docx
ఎదురుగా వచ్చు,munang,v.,/muṇāṅg/,ముణాంగ్,मुणांग,Banjara_telugu.docx
ఎరిగిన తెలిపిన,malam,adj.,/mālaṃ/,మాలం,मालम,Banjara_telugu.docx
ఎరుక,malamvegi,n.,/mālaṃvēgi/,మాలంవేగి,मालमवेगि,Banjara_telugu.docx
ఎరుగు,malamchanjako,v.,/mālaṃcãjakō/,మాలంచఁజకో,मालमछंजको,Banjara_telugu.docx
ఎరుపు,ratlo,n.,/rātlō/,రాత్లో,रात्लो,Banjara_telugu.docx
ఎరువు,dava,n.,/davā/,దవా,दवा,Banjara_telugu.docx
ఎర్ర,raldo,adj.,/rāldō/,రాల్డో,రాల్డో,Banjara_telugu.docx
ఎర్రలు వానపాము,sopiliya,n.,/sōpīḷiyā/,సోపీళియా,सोपीळिया,Banjara_telugu.docx
ఎలా,kunkan / kum,adv.,/kuṅkan/ /kū̃/,కుంకన్ / కూఁ,कुंकन / कूं,Banjara_telugu.docx
ఎలా పడితే అలా,kumvajum,adv.,/kũvajũ/,కుఁవజుఁ,कुंवजुं,Banjara_telugu.docx
ఎలాగైనా,pakka / kuyimti,adv.,/pakkā/ /kuyĩti/,పక్కా / కుయిఁతి,पक्का / कुयिंति,Banjara_telugu.docx
ఎదురుచూపులు,vat jo,n.,/vāṭ jō/,వాట్ జో,वाट जो,Banjara_telugu.docx
ఎలుక,undar,n.,/undar/,ఉందర్,उन्दर,Banjara_telugu.docx
ఎల్లవేళలా,kannayitoyi,adv.,/kannāyitōyi/,కన్నాయితోయి,कन्नायितोयि,Banjara_telugu.docx
ఎల్లి గడ్డ / ఎల్లి పాయ,nassan / lassan,n.,/nassaṇ/ /lassaṇ/,నస్సణ్ / లస్సణ్,नस्सण / लस्सण,Banjara_telugu.docx
ఎవరితోనైనా,ketivatoyi,pron.,/kētivatōyi/,కేతివతోయి,केतिवतोयि,Banjara_telugu.docx
ఎవరిది,keniti,pron.,/kēniti/,కేనితి,केनिति,Banjara_telugu.docx
ఎవరు,kun / kun,pron.,/kūṇ/ /kūṇ/,కూణ్ / కూణ్,कूण / कूण,Banjara_telugu.docx
ఎవరైనా,kuniti,pron.,/kuṇiti/,కుణితి,कुणिति,Banjara_telugu.docx
ఏ దిగులు లేని,bana,adj.,/banā/,బనా,बना,Banjara_telugu.docx
ఏమో,kanyiko,adv.,/kā̃yikō/,కాఁయికో,कांयिको,Banjara_telugu.docx
ఏకం చేయి,ek kar,v.,/ēk kar/,ఏక్ కర్,एक कर,Banjara_telugu.docx
ఏదైనా,kunasiti,pron.,/kuṇasiti/,కుణసితి,कुणसिति,Banjara_telugu.docx
ఏరు,chebri vin,n.,/chēbri viṇ/,ఛేబ్రి విణ్,छेब्रि विण,Banjara_telugu.docx
ఏకాంతం,chyant,n.,/chyāṇṭ/,ఛ్యాంట్,छ्यान्ट,Banjara_telugu.docx
ఏకీకరించు,eka karer,v.,/ēka karēr/,ఏక కరేర్,एक करेर,Banjara_telugu.docx
ఏదో,kanyiko,pron.,/kā̃yikō/,కాఁయికో,कांयिको,Banjara_telugu.docx
ఏడాది,varas,n.,/varas/,వరస్,वरस,Banjara_telugu.docx
ఏడో నెల,satme mina,n.,/sātmē mīnā/,సాత్మే మీనా,सात्मे मीना,Banjara_telugu.docx
ఏమి,kanyi,pron.,/kā̃yi/,కాఁయి,कांयि,Banjara_telugu.docx
ఏర్పరచు,bana,v.,/baṇā/,బణా,बणा,Banjara_telugu.docx
ఏమీ లేనిదైన,sunobhat,adj.,/sūnōbhaṭ/,సూనోభట్,सूनोभट,Banjara_telugu.docx
ఏర్పాటు,savalat,n.,/savalat/,సవలత్,सवलत,Banjara_telugu.docx
ఐతది,veja,v.,/vējā/,వేజా,वेजा,Banjara_telugu.docx
ఐదు,panch,num.,/pāñc/,పాంచ్,पाञ्च,Banjara_telugu.docx
ఐదుగురి,panchir,adj.,/pāñcīr/,పాంచీర్,पाञ्चीर,Banjara_telugu.docx
ఒంటరి,yello,adj.,/yēllō/,ఏల్లొ,येल्लो,Banjara_telugu.docx
ఒంటరిగా,yekloj / chiyant,adv.,/yēklōj/ /chiyāṇṭ/,ఏక్లోజ్ / ఛియాంట్,येक्लोज / छियान्ट,Banjara_telugu.docx
ఒకరికి ఒక్కరు,yekin yek,pron.,/ekīn yēk/,ఎకీన్ ఏక్,एकीन एक,Banjara_telugu.docx
ఒడంబడిక,sulaha,n.,/sulahā/,సులహా,सुलहा,Banjara_telugu.docx
ఒంటె,huntadi,n.,/huṇṭaḍi/,హుంటడి,हुन्टडि,Banjara_telugu.docx
ఒకే,yekkaj,adj.,/ekkaj/,ఎక్కజ్,एक्कज,Banjara_telugu.docx
ఒడ్డు,pal / dari,n.,/pāḷ/ /dari/,పాళ్ / దరి,पाळ / दरि,Banjara_telugu.docx
ఒక,yek,num.,/yēk/,ఏక్,एक,Banjara_telugu.docx
ఒకేలా,yekkaj,adv.,/ekkaj/,ఎక్కజ్,एक्कज,Banjara_telugu.docx
ఒడ్డుపై తీసి వెయ్యి,palepa,v.,/pāḷēpa/,పాళెప,पाळेपा,Banjara_telugu.docx
ఒక దానిని,yekkinam,pron.,/ekkinã/,ఎక్కినఁ,एक्किनं,Banjara_telugu.docx
ఒక్క నిమిషం,ghadiya,n.,/ghaḍiyā/,ఘడియా,घडिया,Banjara_telugu.docx
ఒక రకమైన నగలు,kanak,n.,/kāṇāk/,కాణాక్,काणाक,Banjara_telugu.docx
ఒక్కటే,yekkaj,num.,/ekkaj/,ఎక్కజ్,एक्कज,Banjara_telugu.docx
ఒప్పందము,karar,n.,/karār/,కరార్,करार,Banjara_telugu.docx
ఒక వైపు,valpachanam,adv.,/valpacanaṃ/,వల్పచనం,वल्पचनं,Banjara_telugu.docx
ఒప్పించు,pura,v.,/purā/,పురా,पुरा,Banjara_telugu.docx
ఒకటి,yek,num.,/yēk/,ఏక్,एक,Banjara_telugu.docx
ఒక్కరినే,yeklina,pron.,/yēklīna/,ఏక్లీన,एकलीना,Banjara_telugu.docx
ఒప్పుకో,manla,v.,/mānla/,మాన్ల,मानला,Banjara_telugu.docx
ఒకడినే,yekloj,pron.,/yēklōj/,ఏక్లోజ్,येक्लोज,Banjara_telugu.docx
ఒక్కరు,yekkaj,pron.,/ekkaj/,ఎక్కజ్,एक्कज,Banjara_telugu.docx
ఒరగడం,adker,n.,/aḍkēr/,అడ్కేర్,अडकेर,Banjara_telugu.docx
ఒకదాంట్లో ఇంకొకటి,yekimayek,adv.,/yēkīmāyēk/,ఏకీమాఏక్,एकीमाएक,Banjara_telugu.docx
ఒక్కొక్కడు,yekyek,pron.,/yēkyēk/,ఏక్ఎక్,एकएक,Banjara_telugu.docx
ఒకరి,yekkir,pron.,/yekkir/,ఎక్కిర్,एक्किर,Banjara_telugu.docx
ఒక్కొక్కసారి,yekek tayi,adv.,/yēkēk tāyi/,ఏకేక్ తాయి,एकेक तायि,Banjara_telugu.docx
ఓటమి,hargo,n.,/hārgō/,హార్గో,हारगो,Banjara_telugu.docx
ఓటు,ot,n.,/ōṭ/,ఓట్,ओट,Banjara_telugu.docx
ఓదార్పు,manader,n.,/manādēr/,మనాదేర్,मनादेर,Banjara_telugu.docx
ఓర్చుకోడం,tamas,n.,/tāmas/,తామస్,तामस,Banjara_telugu.docx
ఓర చూపు చూస్తున్నాడు,adiankiti dekro,v.,/āḍiāṅkiti dēkrō/,ఆడిఆంకితి దేక్రో,आडिआंकिति देक्रो,Banjara_telugu.docx
ఓర్చుకోను,samal,v.,/sāmāḷ/,సమాళ్,सामाळ,Banjara_telugu.docx
ఓర్పు,opkyi,n.,/ōpkyi/,ఒప్క్యి,ओप्यि,Banjara_telugu.docx
ఓణీ,oni,n.,/ōṇī/,ఓణీ,ओणी,Banjara_telugu.docx
ఓర్చుకో,kham lam,v.,/kham lã/,ఖమ్ లఁ,खम लं,Banjara_telugu.docx
ఓదార్చు,samjam,v.,/samjã/,సమ్జాఁ,सम्जां,Banjara_telugu.docx
ఓర్చుకోగలగటం,khev r,n.,/khēv r/,ఖేవ్ ర్,खेव र,Banjara_telugu.docx
కాచుకొని ఉండు,gandigasevalo,v.,/gaṇḍigāsēvāḷō/,గండిగాసేవాళో,गन्डिगासेवाळो,Banjara_telugu.docx
కంకణం,kolda,n.,/kolḍā/,కొల్డా,कोल्डा,Banjara_telugu.docx
కంకర,kankra / kankara,n.,/kāṅkra/ /kaṅkara/,కాంక్ర / కంకర,कांक्र / कंकरा,Banjara_telugu.docx
కడ్డి,salak,n.,/salāk/,సలాక్,सलाक,Banjara_telugu.docx
కర్ణభేరి,gubli,n.,/gubli/,గుబ్లి,गुబ్లి,Banjara_telugu.docx
కర్తవ్యం / బాధ్యత / పని,karvayi,n.,/kārvāyi/,కార్వాయి,कारवायि,Banjara_telugu.docx
కంకి,makka / sarra,n.,/makkā/ /sarrā/,మక్కా / సర్రా,मक्का / सर्रा,Banjara_telugu.docx
కణతి,kanti,n.,/kanti/,కంతి,कन्ति,Banjara_telugu.docx
కర్మ,ghadi / nasib,n.,/ghaḍi/ /nasīb/,ఘడి / నసీబ్,घडि / नसीब,Banjara_telugu.docx
కంచె,vad,n.,/vāḍ/,వాడ్,वाड,Banjara_telugu.docx
కత్తి,pasna / talvar / chamri,n.,/pāsnā/ /talvār/ /chãri/,పాస్నా / తల్వార్ / ఛఁరి,पास्ना / तलवार / छँरि,Banjara_telugu.docx
కంటె,hamslo,n.,/hā̃slō/,హాఁస్లో,हांस्लो,Banjara_telugu.docx
కత్తి పీట,kattu,n.,/kāṭṭu/,కాట్టు,काट्टु,Banjara_telugu.docx
కల,sapano,n.,/sapanō/,సపనో,सपनो,Banjara_telugu.docx
కండ,lvala,n.,/lvāḷā/,ల్వాళా,ल्वाळा,Banjara_telugu.docx
కత్తిరించు,kotar / kater,v.,/kotar/ /kāṭēr/,కొతర్ / కాటెర్,कोतर / काटेर,Banjara_telugu.docx
కలం,ponti,n.,/poṇṭi/,పొంటి,पोन्टि,Banjara_telugu.docx
కండరాలు,mas,n.,/mās/,మాస్,मास,Banjara_telugu.docx
కత్తెర,kotadni,n.,/kotaḍni/,కొతడ్ని,कोतड्नि,Banjara_telugu.docx
కలగలుపడం,bhel bhal,n.,/bhēḷ bhāḷ/,భేళ్ భాళ్,भेळ भाळ,Banjara_telugu.docx
కండరాలు గల,mams bharo,adj.,/mā̃s bharō/,మాఁస్ భరొ,मांस भरो,Banjara_telugu.docx
కదలకుండా,nahalaju,adv.,/nãhālajū/,నఁహాలజూ,नंहालजू,Banjara_telugu.docx
కలత కలిగించు,bigadayer,v.,/bigaḍāyēr/,బిగడాయేర్,बिगडायेर,Banjara_telugu.docx
కలత చెందు,chamak,v.,/camak/,చమక్,चमक,Banjara_telugu.docx
కందకం,khandam,n.,/khandaṃ/,ఖందం,खन्दं,Banjara_telugu.docx
కదల్చడం,hala,n.,/halā/,హలా,हला,Banjara_telugu.docx
కలప,lakadi,n.,/lakaḍi/,లకడి,लकडि,Banjara_telugu.docx
కందగడ్డ,sakkar gand,n.,/sakkar gand/,సక్కర్ గంద్,शक्कर गन्द,Banjara_telugu.docx
కదిలించు,hala,v.,/halā/,హలా,हला,Banjara_telugu.docx
కలపడం,eka karer,n.,/ēka karēr/,ఏక కరేర్,एक करेर,Banjara_telugu.docx
కందిరీగ,tatiya,n.,/ṭāṭiya/,టాటియ,टाटिया,Banjara_telugu.docx
కలవడానికి,bhalenam,v.,/bhaḷēnã/,భళేనఁ,भळेनं,Banjara_telugu.docx
కంప,dhira,n.,/ḍhīrā/,ఢీరా,ढीरा,Banjara_telugu.docx
కదులు,sarka,v.,/sarkā/,సర్కా,सर्का,Banjara_telugu.docx
కలవరిస్తున్నావు,bakr,v.,/bakr/,బక్ర్,बक्र,Banjara_telugu.docx
కంపనం,dhujer,n.,/dhūjēr/,ధూజేర్,धूजेर,Banjara_telugu.docx
కనపడు,dika,v.,/dikā/,దికా,दिका,Banjara_telugu.docx
కనిపించకుండా పోవడం / మాయమవ్వు,mayaver,v.,/māyāvēr/,మాయావేర్,मायावेर,Banjara_telugu.docx
కలిసారు,bhale,v.,/bhaḷē/,భళె,भळे,Banjara_telugu.docx
కంసాలి,sanar,n.,/sanār/,సనార్,सनार,Banjara_telugu.docx
కలుపు,bhele / kalap,v.,/bhēḷē/ /kalap/,భేళే / కలప్,भेळे / कलप,Banjara_telugu.docx
కక్కు,dakanni,n.,/ḍākaṇṇi/,డాకణ్ణి,डाकण्णि,Banjara_telugu.docx
కనిపించే,dikavajako,adj.,/dikāvajakō/,దికావజకో,दिकावजको,Banjara_telugu.docx
కలుపు తీసే పరికరం,gudeli,n.,/gudēli/,గుదేలి,गुदेलि,Banjara_telugu.docx
కక్ష్య,gheran,n.,/ghēran/,ఘేరన్,घेरान,Banjara_telugu.docx
కనుక్కో,dhund,v.,/ḍhūṇḍ/,ఢూండ్,ढूण्ड,Banjara_telugu.docx
కలుపు మొక్కలు,kalap,n.,/kalap/,కలప్,कलप,Banjara_telugu.docx
కచ్చితంగా,barobar / khara khandi,adv.,/barōbar/ /kharā khaṇḍi/,బరోబర్ / ఖరా ఖండి,बरोबर / खरा खन्डि,Banjara_telugu.docx
కనుగొను,dhund / malamkar,v.,/ḍhūṇḍ/ /mālaṃkar/,ఢూండ్ / మాలంకర్,ढूण्ड / मालमकर,Banjara_telugu.docx
కటకం,arsi,n.,/ārsi/,ఆర్సి,आर्सि,Banjara_telugu.docx
కటికోడు,khatik,n.,/khaṭik/,ఖటిక్,खटिक,Banjara_telugu.docx
కనుగొన్నాను,malamkar do,v.,/mālaṃkar do/,మాలంకర్ దొ,मालमकर दो,Banjara_telugu.docx
కలుసు,bhale,v.,/bhaḷē/,భళె,भळे,Banjara_telugu.docx
కల్పనా,sapano,n.,/sapanō/,సపనో,सपनो,Banjara_telugu.docx
కల్లు,sindi,n.,/sīndi/,సీంది,సీन्दि,Banjara_telugu.docx
కళ్ళజోడు,kajal,n.,/kājaḷ/,కాజళ్,काजळ,Banjara_telugu.docx
కళ్ళు మిటకరించు,tamkar,v.,/ṭamkār/,టమ్కార్,टमकार,Banjara_telugu.docx
కన్నీరు,hamsu,n.,/hā̃su/,హాఁసు,हांसु,Banjara_telugu.docx
కన్ను,anki,n.,/āṅki/,ఆంకి,आंकि,Banjara_telugu.docx
కప్పబడిన,buran jako,adj.,/būran jakō/,బూరన్ జకో,बूरन जको,Banjara_telugu.docx
కప్పు,chap,v.,/chāp/,ఛాప్,छाप,Banjara_telugu.docx
కప్పుకునేది,oder,n.,/ōḍēr/,ఓడేర్,ओडेर,Banjara_telugu.docx
కమలిన,darmago,adj.,/darmāgō/,దర్మాగొ,दर्मागो,Banjara_telugu.docx
కమ్మరి,kamar,n.,/kamār/,కమార్,कमार,Banjara_telugu.docx
కరిగించు,gal,v.,/gāḷ/,గాళ్,गाळ,Banjara_telugu.docx
కరిగినది,galo,adj.,/gaḷō/,గళొ,गळो,Banjara_telugu.docx
కరుగు,paragal,v.,/paragaḷ/,పరగళ్,परगळ,Banjara_telugu.docx
కట్ట,binda / pal,n.,/biṇḍā/ /pāḷ/,బిండా / పాళ్,बिन्डा / पाळ,Banjara_telugu.docx
కట్టడి,hamla,n.,/hamlā/,హమ్లా,हमला,Banjara_telugu.docx
కట్టని,chuto,adj.,/chūṭō/,ఛూటొ,छूटो,Banjara_telugu.docx
కట్టిన,mandejako,adj.,/māṇḍejakō/,మాండెజకో,मान्डेजको,Banjara_telugu.docx
కట్టు,pato,v.,/pāṭō/,పాటొ,पाटो,Banjara_telugu.docx
కట్టుకథ,thalivate,n.,/ṭhālivātē/,ఠాలివాతే,ठालिवाते,Banjara_telugu.docx
